Swarm ID,Start Time,End Time,Duration,Origin Latitude,Origin Longitude,Centre Latitude,Centre Longitude,Number of Earthquakes,Magnitudes,Time Intervals (h),Distance Intervals (km),Minimum Time Limit (h),Minimum Distance Limit (km),Average Time Interval (h),Average Distance Interval (km)
82,2012-08-19 22:09:02.840000+00:00,2012-08-20 01:49:02.660000+00:00,0 days 03:39:59.820000,-28.844,-13.018,-28.802500000000002,-13.1955,3,"[4.7, 4.2, 4.3]","[1.24535, 2.4212666666666665]","[41.88809569040609, 14.298949491700599]",2.4212666666666665,41.88809569040609,1.833308333333333,28.093522591053343
83,2012-09-14 06:56:16.840000+00:00,2012-09-14 07:18:38.380000+00:00,0 days 00:22:21.540000,-39.644,-16.021,-39.635000000000005,-16.037,3,"[5.1, 4.7, 5.5]","[0.19181666666666666, 0.18083333333333335]","[6.667117832205218, 3.6761640421118327]",0.19181666666666666,6.667117832205218,0.18632500000000002,5.171640937158525
84,2012-09-30 22:36:08.250000+00:00,2012-10-01 04:53:57.750000+00:00,0 days 06:17:49.500000,-24.896,-13.417,-24.8885,-13.392,2,"[4.6, 4.1]",[6.297083333333333],[5.318272247141023],6.297083333333333,5.318272247141023,6.297083333333333,5.318272247141023
85,2012-12-06 15:46:49.300000+00:00,2012-12-07 02:00:34.140000+00:00,0 days 10:13:44.840000,-54.068,-1.896,-54.1125,-2.1645,6,"[4.9, 4.8, 4.6, 5.3, 4.9, 4.3]","[1.0680833333333333, 0.6730222222222223, 4.035625, 4.028447222222222, 0.42394444444444446]","[7.895579251176443, 39.629245145687186, 8.158285366224657, 3.414740629426273, 4.100027618202323]",4.035625,39.629245145687186,2.0458244444444444,12.639575602143378
86,2012-12-27 15:35:32.570000+00:00,2012-12-27 16:33:59.870000+00:00,0 days 00:58:27.300000,-12.093,-15.158,-12.2445,-15.017,2,"[4.3, 5.2]",[0.9742500000000001],[45.44174221226357],0.9742500000000001,45.44174221226357,0.9742500000000001,45.44174221226357
87,2012-12-27 16:18:20.710000+00:00,2012-12-27 16:23:58.910000+00:00,0 days 00:05:38.200000,-12.442,-14.774,-12.436,-14.6245,2,"[4.8, 4.5]",[0.09394444444444444],[32.53571666267732],0.09394444444444444,32.53571666267732,0.09394444444444444,32.53571666267732
88,2013-02-04 11:41:51.170000+00:00,2013-02-04 11:48:42.090000+00:00,0 days 00:06:50.920000,-33.934,-14.579,-33.977999999999994,-14.627500000000001,2,"[4.8, 4.8]",[0.11414444444444445],[13.252412776265187],0.11414444444444445,13.252412776265187,0.11414444444444445,13.252412776265187
89,2013-02-16 20:29:17.920000+00:00,2013-02-16 22:43:42.310000+00:00,0 days 02:14:24.390000,-15.572,-13.214,-15.6145,-13.235,3,"[4.6, 4.9, 5.1]","[2.225702777777778, 0.014405555555555555]","[10.618846176540744, 10.722029706318805]",2.225702777777778,10.722029706318805,1.1200541666666666,10.670437941429775
90,2013-04-23 20:04:12.310000+00:00,2013-04-23 20:05:48.470000+00:00,0 days 00:01:36.160000,-49.456,-8.016,-49.392,-7.926,2,"[4.7, 4.7]",[0.02671111111111111],[19.323848425786302],0.02671111111111111,19.323848425786302,0.02671111111111111,19.323848425786302
91,2013-05-19 08:14:17.420000+00:00,2013-05-19 08:21:31.970000+00:00,0 days 00:07:14.550000,-15.512,-13.278,-15.5615,-13.2355,2,"[4.7, 4.8]",[0.12070833333333333],[14.252569685275978],0.12070833333333333,14.252569685275978,0.12070833333333333,14.252569685275978
92,2013-06-07 16:13:33.150000+00:00,2013-06-07 20:13:13.260000+00:00,0 days 03:59:40.110000,-43.658,-16.345,-43.706,-16.2635,2,"[4.5, 5.6]",[3.994475],[16.92261808945173],3.994475,16.92261808945173,3.994475,16.92261808945173
93,2013-09-29 03:48:11.790000+00:00,2013-09-29 05:46:23.210000+00:00,0 days 01:58:11.420000,-40.5081,-16.7102,-40.5142,-16.7934,2,"[4.5, 4.9]",[1.969838888888889],[14.167301290966742],1.969838888888889,14.167301290966742,1.969838888888889,14.167301290966742
94,2013-12-16 12:04:04.430000+00:00,2013-12-16 14:25:11.940000+00:00,0 days 02:21:07.510000,-47.1213,-13.2506,-47.104699999999994,-13.344149999999999,6,"[4.7, 4.9, 4.5, 5.2, 4.9, 4.4]","[0.06951388888888889, 0.31540555555555555, 0.02272222222222222, 1.847322222222222, 0.09712222222222222]","[13.64459357033029, 10.5580636655392, 2.5194056090132486, 11.11925387700127, 4.1989330209062246]",1.847322222222222,13.64459357033029,0.47041722222222215,8.408049948558046
95,2014-02-28 02:48:08.510000+00:00,2014-02-28 04:27:54.670000+00:00,0 days 01:39:46.160000,-15.7849,-13.0678,-15.6892,-13.13345,2,"[5.2, 4.6]",[1.6628222222222222],[25.4298831691707],1.6628222222222222,25.4298831691707,1.6628222222222222,25.4298831691707
96,2014-06-21 09:21:21.050000+00:00,2014-06-21 11:46:56.820000+00:00,0 days 02:25:35.770000,-13.6993,-14.6541,-13.7742,-14.58345,2,"[5.3, 4.7]",[2.426602777777778],[22.542349337072885],2.426602777777778,22.542349337072885,2.426602777777778,22.542349337072885
97,2014-06-21 11:08:24.430000+00:00,2014-06-21 12:18:57.860000+00:00,0 days 01:10:33.430000,-50.3652,-6.5536,-50.3996,-6.354150000000001,2,"[5.0, 4.9]",[1.1759527777777778],[29.376054659396832],1.1759527777777778,29.376054659396832,1.1759527777777778,29.376054659396832
98,2014-07-13 04:34:32.760000+00:00,2014-07-13 04:49:44.030000+00:00,0 days 00:15:11.270000,-14.1921,-13.7435,-14.227699999999999,-13.689699999999998,3,"[4.5, 4.4, 4.6]","[0.11695277777777777, 0.1361777777777778]","[17.749112090796455, 13.103276584010123]",0.1361777777777778,17.749112090796455,0.12656527777777776,15.426194337403288
99,2014-07-15 18:15:34.550000+00:00,2014-07-15 18:20:21.540000+00:00,0 days 00:04:46.990000,-44.6504,-15.1349,-44.74245,-15.123999999999999,2,"[4.7, 4.6]",[0.07971944444444445],[20.531158093289218],0.07971944444444445,20.531158093289218,0.07971944444444445,20.531158093289218
100,2014-11-25 13:32:49.400000+00:00,2014-11-25 19:47:53.740000+00:00,0 days 06:15:04.340000,-39.636,-15.4853,-39.670500000000004,-15.713049999999999,2,"[4.8, 5.1]",[6.251205555555556],[39.8269254207752],6.251205555555556,39.8269254207752,6.251205555555556,39.8269254207752
101,2015-01-11 18:47:20.970000+00:00,2015-01-12 05:41:51.910000+00:00,0 days 10:54:30.940000,-16.8266,-14.4793,-16.818150000000003,-14.42325,3,"[4.9, 5.0, 4.9]","[8.283155555555556, 2.6254388888888887]","[12.234126733613149, 7.503515069852597]",8.283155555555556,12.234126733613149,5.454297222222222,9.868820901732873
102,2015-01-14 09:23:28.740000+00:00,2015-01-15 07:15:13.920000+00:00,0 days 21:51:45.180000,-16.6899,-14.4889,-16.6993,-14.43975,2,"[4.6, 4.8]",[21.86255],[10.68854757112944],21.86255,10.68854757112944,21.86255,10.68854757112944
103,2015-01-18 08:30:29.010000+00:00,2015-01-18 14:13:35.490000+00:00,0 days 05:43:06.480000,-16.4119,-14.0259,-16.493499999999997,-13.880600000000001,2,"[5.2, 4.6]",[5.718466666666666],[35.90029086785553],5.718466666666666,35.90029086785553,5.718466666666666,35.90029086785553
104,2015-01-18 15:44:45.440000+00:00,2015-01-18 18:54:54.700000+00:00,0 days 03:10:09.260000,-16.9253,-14.2961,-16.8812,-14.3445,2,"[4.8, 4.7]",[3.169238888888889],[14.200712403281642],3.169238888888889,14.200712403281642,3.169238888888889,14.200712403281642
105,2015-02-01 18:51:47.030000+00:00,2015-02-01 20:02:20.730000+00:00,0 days 01:10:33.700000,-49.3915,-8.4085,-49.3548,-8.26415,2,"[4.8, 5.6]",[1.1760277777777777],[22.506830027320245],1.1760277777777777,22.506830027320245,1.1760277777777777,22.506830027320245
106,2015-02-18 02:20:37.640000+00:00,2015-02-18 03:32:21.470000+00:00,0 days 01:11:43.830000,-7.7076,-13.4636,-7.6562,-13.524799999999999,2,"[5.4, 4.9]",[1.1955083333333334],[17.653222178022503],1.1955083333333334,17.653222178022503,1.1955083333333334,17.653222178022503
107,2015-02-21 10:38:06.020000+00:00,2015-02-21 12:24:47.720000+00:00,0 days 01:46:41.700000,-16.7709,-14.2013,-16.68125,-14.3146,4,"[4.8, 4.5, 5.3, 4.9]","[0.5688916666666667, 0.36454166666666665, 0.8448166666666667]","[43.2517340739635, 12.031601259707045, 16.011012527769807]",0.8448166666666667,43.2517340739635,0.59275,23.764782620480116
108,2015-03-04 05:45:22.170000+00:00,2015-03-04 14:01:10.920000+00:00,0 days 08:15:48.750000,-28.1286,-13.0078,-28.04735,-13.131599999999999,2,"[4.8, 4.8]",[8.263541666666667],[30.280609062194628],8.263541666666667,30.280609062194628,8.263541666666667,30.280609062194628
109,2015-03-07 17:39:59.240000+00:00,2015-03-07 17:42:49.040000+00:00,0 days 00:02:49.800000,-16.9387,-14.0789,-16.97685,-14.07125,2,"[4.8, 4.8]",[0.04716666666666667],[8.599822691458957],0.04716666666666667,8.599822691458957,0.04716666666666667,8.599822691458957
110,2015-04-03 09:32:51.130000+00:00,2015-04-03 09:35:20.740000+00:00,0 days 00:02:29.610000,-7.2002,-13.2114,-7.13375,-13.175999999999998,2,"[4.6, 4.8]",[0.041558333333333336],[16.648857622877262],0.041558333333333336,16.648857622877262,0.041558333333333336,16.648857622877262
111,2015-05-04 20:48:11.150000+00:00,2015-05-04 21:07:32.160000+00:00,0 days 00:19:21.010000,-3.7887,-12.0587,-3.83635,-12.1262,3,"[4.5, 4.8, 4.6]","[0.2429611111111111, 0.07954166666666668]","[15.820218323967268, 11.259528865432193]",0.2429611111111111,15.820218323967268,0.1612513888888889,13.539873594699731
112,2015-05-13 22:48:48.970000+00:00,2015-05-15 00:39:04.890000+00:00,1 days 01:50:15.920000,-47.3648,-12.5887,-47.3467,-12.303999999999998,2,"[4.9, 4.6]",[25.837755555555557],[43.213078567951534],25.837755555555557,43.213078567951534,25.837755555555557,43.213078567951534
113,2015-05-18 06:34:42.430000+00:00,2015-05-18 06:47:02.780000+00:00,0 days 00:12:20.350000,-2.3148,-12.3628,-2.2717,-12.32395,2,"[4.5, 4.2]",[0.2056527777777778],[12.866619814985832],0.2056527777777778,12.866619814985832,0.2056527777777778,12.866619814985832
