Swarm ID,Start Time,End Time,Duration,Origin Latitude,Origin Longitude,Centre Latitude,Centre Longitude,Number of Earthquakes,Magnitudes,Time Intervals (h),Distance Intervals (km),Minimum Time Limit (h),Minimum Distance Limit (km),Average Time Interval (h),Average Distance Interval (km)
109,2015-09-07 07:25:02.720000+00:00,2015-09-07 08:17:11.310000+00:00,0 days 00:52:08.590000,59.43,-30.4946,59.2529,-30.476,3,"[4.4, 4.1, 4.4]","[0.40860277777777776, 0.46044999999999997]","[39.458002050852265, 19.19545523399933]",0.46044999999999997,39.458002050852265,0.43452638888888884,29.3267286424258
110,2015-11-02 08:06:30.230000+00:00,2015-11-02 13:00:18.790000+00:00,0 days 04:53:48.560000,53.358,-35.3302,53.39185,-35.25465,3,"[4.7, 4.6, 4.7]","[4.690936111111111, 0.20588611111111113]","[15.551974643627194, 4.719551416607043]",4.690936111111111,15.551974643627194,2.448411111111111,10.135763030117118
111,2015-11-30 18:30:13.210000+00:00,2015-11-30 20:50:56.710000+00:00,0 days 02:20:43.500000,58.536,-32.1065,58.42005,-32.0959,2,"[4.4, 4.2]",[2.3454166666666665],[25.85988125322977],2.3454166666666665,25.85988125322977,2.3454166666666665,25.85988125322977
112,2016-01-16 04:29:22.650000+00:00,2016-01-16 18:40:50.100000+00:00,0 days 14:11:27.450000,61.2548,-28.1438,60.980000000000004,-28.148899999999998,7,"[4.4, 4.4, 4.2, 4.7, 4.0, 4.5, 4.3]","[0.13615555555555556, 0.02330555555555556, 1.213572222222222, 3.627333333333333, 3.620358333333334, 5.570233333333333]","[25.343224047090878, 16.732633974808916, 13.639780489271851, 7.817727104568138, 39.96359970276509, 5.613108873682444]",5.570233333333333,39.96359970276509,2.3651597222222223,18.185012365364553
113,2016-05-10 17:20:59.830000+00:00,2016-05-10 18:10:34.040000+00:00,0 days 00:49:34.210000,57.5809,-32.8819,57.66265,-32.8582,2,"[5.0, 4.5]",[0.8261694444444444],[18.427748247839727],0.8261694444444444,18.427748247839727,0.8261694444444444,18.427748247839727
114,2016-06-23 01:48:49.830000+00:00,2016-06-23 01:52:22.490000+00:00,0 days 00:03:32.660000,57.5194,-33.11,57.53505,-32.9691,2,"[4.8, 4.5]",[0.05907222222222222],[17.235255204732454],0.05907222222222222,17.235255204732454,0.05907222222222222,17.235255204732454
115,2016-06-23 14:34:24.640000+00:00,2016-06-23 15:28:34.180000+00:00,0 days 00:54:09.540000,56.618,-34.4728,56.5586,-34.37905,5,"[4.4, 4.6, 4.5, 4.8, 4.5]","[0.3130388888888889, 0.32243055555555555, 0.1896027777777778, 0.07757777777777777]","[5.613083896982551, 14.883877332849355, 4.276080327361864, 10.351258181768713]",0.32243055555555555,14.883877332849355,0.2256625,8.781074934740621
116,2016-06-24 22:43:11.290000+00:00,2016-06-24 22:46:01.570000+00:00,0 days 00:02:50.280000,57.3973,-33.3819,57.3689,-33.313100000000006,2,"[4.8, 4.6]",[0.0473],[10.419248718227932],0.0473,10.419248718227932,0.0473,10.419248718227932
117,2016-06-25 01:57:57.430000+00:00,2016-06-25 03:14:36.690000+00:00,0 days 01:16:39.260000,56.6463,-34.4966,56.5834,-34.5428,8,"[4.8, 4.9, 4.5, 4.5, 4.4, 4.3, 4.7, 4.4]","[0.012972222222222224, 0.06212222222222222, 0.464775, 0.030119444444444445, 0.48789722222222226, 0.01704722222222222, 0.2026388888888889]","[16.05391892876145, 3.794007900226789, 5.717161743682019, 28.09902188014941, 10.643873229817348, 18.189042599478938, 2.2024053252349556]",0.48789722222222226,28.09902188014941,0.18251031746031746,12.099918801050128
118,2016-06-25 10:53:49.100000+00:00,2016-06-25 21:49:23.810000+00:00,0 days 10:55:34.710000,53.7979,-35.3351,53.8391,-35.475750000000005,11,"[4.3, 4.3, 4.6, 4.4, 5.5, 4.5, 4.4, 4.5, 4.4, 4.6, 4.7]","[0.5780111111111111, 0.09936666666666667, 5.634847222222223, 0.6962666666666667, 0.09938333333333332, 0.3284305555555555, 0.14418333333333333, 0.29575, 1.7848416666666667, 1.2652277777777776]","[18.971138582943265, 13.998343616957897, 15.346875514974297, 7.285710232169687, 12.133865354310991, 3.2844060741699894, 9.785176126752814, 18.351055206630132, 15.235030674645577, 2.686001116673225]",5.634847222222223,18.971138582943265,1.0926308333333332,11.707760250022789
119,2016-09-24 04:26:17.070000+00:00,2016-09-24 05:49:41.540000+00:00,0 days 01:23:24.470000,57.2032,-33.3936,57.302400000000006,-33.33705,4,"[4.9, 4.6, 4.7, 4.4]","[0.2733361111111111, 0.9433722222222222, 0.17342222222222223]","[2.8261294450798773, 14.106401886376988, 25.49208943293174]",0.9433722222222222,25.49208943293174,0.4633768518518518,14.141540254796203
120,2017-01-02 16:04:14.700000+00:00,2017-01-03 02:07:09.090000+00:00,0 days 10:02:54.390000,53.3783,-35.3232,53.156400000000005,-35.267849999999996,4,"[4.7, 4.4, 4.8, 4.5]","[0.018155555555555557, 0.6129555555555555, 9.417330555555555]","[24.68127392041439, 7.512503795381169, 25.629321636459768]",9.417330555555555,25.629321636459768,3.349480555555555,19.274366450751774
121,2017-01-27 18:49:27.800000+00:00,2017-01-27 22:51:44.030000+00:00,0 days 04:02:16.230000,59.4907,-30.4297,59.401349999999994,-30.3208,4,"[4.5, 4.6, 4.7, 4.7]","[1.097788888888889, 0.26739444444444443, 2.672658333333333]","[13.604287960064326, 8.36793977067019, 28.48780730338737]",2.672658333333333,28.48780730338737,1.3459472222222224,16.82001167804063
122,2017-03-02 19:04:10.790000+00:00,2017-03-02 19:13:15.670000+00:00,0 days 00:09:04.880000,61.4696,-27.4331,61.41,-27.431350000000002,2,"[4.4, 5.0]",[0.15135555555555555],[13.28447508065306],0.15135555555555555,13.28447508065306,0.15135555555555555,13.28447508065306
123,2017-03-31 17:25:23.130000+00:00,2017-03-31 20:38:41.070000+00:00,0 days 03:13:17.940000,52.6741,-32.3187,52.628150000000005,-32.19745,2,"[5.5, 4.6]",[3.2216500000000003],[19.34446908988938],3.2216500000000003,19.34446908988938,3.2216500000000003,19.34446908988938
124,2017-04-17 17:14:04.950000+00:00,2017-04-17 22:57:46.400000+00:00,0 days 05:43:41.450000,55.5374,-35.2452,55.566199999999995,-35.26349999999999,2,"[4.6, 4.5]",[5.728180555555555],[6.815887352132117],5.728180555555555,6.815887352132117,5.728180555555555,6.815887352132117
125,2017-09-01 09:34:31.820000+00:00,2017-09-01 11:20:51.130000+00:00,0 days 01:46:19.310000,56.9058,-34.2548,56.96255,-33.97135,7,"[4.7, 4.7, 4.5, 5.2, 5.5, 4.6, 4.9]","[1.0506527777777777, 0.09101388888888888, 0.27740555555555557, 0.13237222222222222, 0.07033611111111111, 0.15025]","[27.1217083519316, 22.984121648914602, 15.551435494560188, 15.124359411523853, 11.23458599596178, 6.9213753332272345]",1.0506527777777777,27.1217083519316,0.2953384259259259,16.489597706019875
126,2017-09-10 21:39:58.680000+00:00,2017-09-11 03:15:18.750000+00:00,0 days 05:35:20.070000,57.1138,-33.3022,57.0686,-33.534099999999995,5,"[4.8, 5.7, 4.6, 4.5, 4.3]","[0.006083333333333333, 0.12067222222222222, 0.23190555555555556, 5.230247222222222]","[21.304841862620354, 24.80063183925442, 9.711061278564426, 9.86922388637054]",5.230247222222222,24.80063183925442,1.3972270833333333,16.421439716702434
127,2017-09-12 19:09:11.700000+00:00,2017-09-12 23:10:35.180000+00:00,0 days 04:01:23.480000,58.0996,-32.3427,58.0531,-32.4024,5,"[4.7, 4.9, 4.6, 4.9, 4.9]","[1.9152694444444445, 0.17026944444444445, 0.9852777777777778, 0.9523722222222222]","[4.2038975375059415, 1.4714451558334949, 6.993376651228415, 5.3285910987955605]",1.9152694444444445,6.993376651228415,1.0057972222222222,4.499327610840853
128,2018-01-11 09:46:07.430000+00:00,2018-01-11 09:50:12.250000+00:00,0 days 00:04:04.820000,59.141,-31.0014,59.1134,-30.96405,2,"[5.4, 4.9]",[0.06800555555555556],[7.49158760211685],0.06800555555555556,7.49158760211685,0.06800555555555556,7.49158760211685
129,2018-01-29 12:14:42.010000+00:00,2018-01-29 12:30:02.090000+00:00,0 days 00:15:20.080000,53.72,-35.1264,53.684749999999994,-35.23385,3,"[4.6, 4.8, 4.5]","[0.06543333333333333, 0.19014444444444445]","[4.9304267297482856, 14.574806626168806]",0.19014444444444445,14.574806626168806,0.1277888888888889,9.752616677958546
130,2018-02-02 06:23:56.090000+00:00,2018-02-02 08:03:59.280000+00:00,0 days 01:40:03.190000,53.1093,-35.1806,53.1303,-35.19045,3,"[5.3, 4.6, 4.7]","[1.4909083333333335, 0.17664444444444444]","[1.32494513688671, 4.820693892427865]",1.4909083333333335,4.820693892427865,0.8337763888888889,3.0728195146572874
131,2018-08-14 05:07:50.540000+00:00,2018-08-14 07:04:37.480000+00:00,0 days 01:56:46.940000,58.3099,-31.9579,58.35025,-32.103300000000004,6,"[4.9, 4.4, 4.6, 4.7, 4.3, 4.5]","[0.5068138888888889, 0.2897222222222222, 0.10082500000000001, 0.11911111111111111, 0.9299]","[28.517203907565744, 4.093759234935112, 0.2230125015810651, 2.574268298669904, 22.762709254496002]",0.9299,28.517203907565744,0.3892744444444444,11.634190639449567
132,2018-11-02 11:06:02.100000+00:00,2018-11-02 11:32:52.180000+00:00,0 days 00:26:50.080000,57.2979,-33.0149,57.4653,-32.98715,4,"[5.4, 4.6, 4.7, 4.9]","[0.2061972222222222, 0.20188333333333333, 0.039163888888888894]","[27.132700963606798, 14.664510578945238, 4.37227688972117]",0.2061972222222222,27.132700963606798,0.14908148148148148,15.389829477424401
133,2018-12-14 06:17:30.040000+00:00,2018-12-14 06:29:15.600000+00:00,0 days 00:11:45.560000,57.4109,-33.1558,57.3952,-33.164,2,"[5.0, 4.5]",[0.19598888888888888],[3.6332912768368013],0.19598888888888888,3.6332912768368013,0.19598888888888888,3.6332912768368013
134,2018-12-30 06:48:28.320000+00:00,2018-12-30 16:27:16.130000+00:00,0 days 09:38:47.810000,56.9793,-34.0035,56.8476,-34.13675,4,"[4.9, 4.3, 4.4, 4.5]","[0.2891416666666667, 9.215911111111112, 0.1415611111111111]","[35.22813236846385, 10.706774854550355, 11.612255586433013]",9.215911111111112,35.22813236846385,3.2155379629629635,19.18238760314907
135,2019-02-28 12:34:36.914000+00:00,2019-02-28 12:35:14.440000+00:00,0 days 00:00:37.526000,56.6248,-34.8979,56.638400000000004,-34.672650000000004,2,"[4.1, 4.5]",[0.01042388888888889],[27.808236352197866],0.01042388888888889,27.808236352197866,0.01042388888888889,27.808236352197866
136,2019-03-10 16:23:49.780000+00:00,2019-03-10 19:40:40.810000+00:00,0 days 03:16:51.030000,58.4624,-31.8599,58.3832,-31.6977,7,"[5.1, 5.5, 5.9, 4.6, 4.6, 4.6, 4.3]","[1.581563888888889, 0.10435833333333333, 0.4764555555555556, 0.4280916666666667, 0.24235, 0.44802222222222227]","[7.384669389547365, 13.427533446981576, 24.209348565592602, 11.280794513680812, 14.341006771697094, 4.628833372453659]",1.581563888888889,24.209348565592602,0.5468069444444444,12.545364343325517
137,2019-03-11 08:00:02.417000+00:00,2019-03-11 20:12:46.245000+00:00,0 days 12:12:43.828000,58.5317,-31.6652,58.4531,-31.81525,3,"[4.5, 4.9, 4.5]","[3.007158888888889, 9.205015555555555]","[22.029981418768642, 16.10458760051271]",9.205015555555555,22.029981418768642,6.1060872222222216,19.067284509640675
138,2019-07-13 16:09:40.326000+00:00,2019-07-13 16:12:01.238000+00:00,0 days 00:02:20.912000,54.2451,-35.0593,54.16865,-35.04585,2,"[4.2, 4.5]",[0.039142222222222224],[17.10945302376025],0.039142222222222224,17.10945302376025,0.039142222222222224,17.10945302376025
139,2019-09-05 11:52:06.491000+00:00,2019-09-05 15:47:39.066000+00:00,0 days 03:55:32.575000,52.5864,-31.916,52.613299999999995,-31.80415,2,"[5.5, 4.6]",[3.925715277777778],[16.292266355274236],3.925715277777778,16.292266355274236,3.925715277777778,16.292266355274236
140,2019-09-14 02:48:50.430000+00:00,2019-09-14 02:55:24.943000+00:00,0 days 00:06:34.513000,54.7027,-35.1585,54.64765,-35.18355,2,"[4.5, 4.4]",[0.10958694444444443],[12.675539046637926],0.10958694444444443,12.675539046637926,0.10958694444444443,12.675539046637926
141,2019-10-27 21:14:41.668000+00:00,2019-10-27 21:47:01.386000+00:00,0 days 00:32:19.718000,59.469,-30.4859,59.326,-30.49175,2,"[4.4, 4.7]",[0.5388105555555556],[31.867578094043115],0.5388105555555556,31.867578094043115,0.5388105555555556,31.867578094043115
142,2019-12-20 05:44:29.647000+00:00,2019-12-20 13:43:12.537000+00:00,0 days 07:58:42.890000,59.4868,-30.3885,59.46615,-30.410899999999998,14,"[4.6, 4.3, 5.1, 4.9, 4.5, 4.4, 4.3, 4.5, 4.4, 4.6, 4.3, 4.6, 4.4, 4.3]","[0.44198611111111114, 0.013731944444444446, 0.030299166666666665, 0.7440441666666667, 0.0882938888888889, 0.19578027777777776, 1.6510091666666666, 0.10956861111111112, 0.4752658333333334, 1.9045541666666668, 0.05776722222222222, 0.061850833333333334, 2.2044291666666664]","[18.37944627366794, 4.177625482064868, 5.748709274650968, 2.528312986732089, 8.70141422378574, 5.229980316958473, 8.953093540141957, 8.584465378059855, 4.826350608234078, 9.316560499506227, 0.6805824844657573, 4.354514556350994, 18.662368827437046]",2.2044291666666664,18.662368827437046,0.6137369658119658,7.703340342465846
143,2020-01-09 13:05:48.099000+00:00,2020-01-09 13:30:27.602000+00:00,0 days 00:24:39.503000,57.919,-32.191,57.7778,-32.180099999999996,2,"[4.2, 4.4]",[0.4109730555555555],[31.478673125239148],0.4109730555555555,31.478673125239148,0.4109730555555555,31.478673125239148
144,2020-03-16 06:29:07.745000+00:00,2020-03-16 07:47:19.073000+00:00,0 days 01:18:11.328000,59.9215,-29.7915,59.98625,-29.8649,6,"[4.4, 4.5, 4.9, 4.5, 4.2, 5.3]","[0.02252888888888889, 0.04504944444444444, 0.023216944444444446, 1.2014844444444444, 0.010866944444444445]","[14.70797664654064, 12.21838600845965, 6.093132661975185, 30.016129867673982, 8.212084405509744]",1.2014844444444444,30.016129867673982,0.2606293333333333,14.249541918031841
145,2020-04-16 19:55:59.769000+00:00,2020-04-16 21:03:26.306000+00:00,0 days 01:07:26.537000,52.6537,-34.7727,52.7145,-34.609049999999996,3,"[4.5, 4.4, 4.5]","[1.0246858333333333, 0.09935222222222223]","[18.030794846898374, 7.913007237074937]",1.0246858333333333,18.030794846898374,0.5620190277777778,12.971901041986655
146,2020-04-17 12:05:07.451000+00:00,2020-04-17 12:28:52.050000+00:00,0 days 00:23:44.599000,52.7452,-34.6262,52.7184,-34.57365,2,"[5.3, 4.5]",[0.3957219444444444],[9.274414508653345],0.3957219444444444,9.274414508653345,0.3957219444444444,9.274414508653345
147,2020-06-24 14:57:19.661000+00:00,2020-06-24 17:04:00.272000+00:00,0 days 02:06:40.611000,56.7213,-34.4217,56.61215,-34.437349999999995,3,"[4.3, 4.6, 4.2]","[0.013285, 2.0979958333333335]","[7.531925688340026, 17.21866509677843]",2.0979958333333335,17.21866509677843,1.0556404166666669,12.375295392559227
148,2020-09-06 07:36:19.412000+00:00,2020-09-06 15:17:09.879000+00:00,0 days 07:40:50.467000,60.7164,-28.6033,60.7605,-28.58145,2,"[4.4, 4.4]",[7.680685277777778],[10.112310632171436],7.680685277777778,10.112310632171436,7.680685277777778,10.112310632171436
149,2020-10-22 02:31:42.248000+00:00,2020-10-22 12:00:48.550000+00:00,0 days 09:29:06.302000,52.9112,-35.3441,52.79795,-35.0706,3,"[4.7, 4.6, 4.7]","[8.385785, 1.0992988888888888]","[43.01516334962655, 19.383546639724717]",8.385785,43.01516334962655,4.7425419444444445,31.19935499467563
150,2020-11-03 02:29:44.849000+00:00,2020-11-03 14:08:35.392000+00:00,0 days 11:38:50.543000,57.6236,-32.9635,57.6664,-32.9996,4,"[4.6, 4.6, 4.4, 4.4]","[3.672810277777778, 0.07967527777777779, 7.8948875]","[5.18890468072666, 9.291286972129614, 12.32078199571167]",7.8948875,12.32078199571167,3.882457685185185,8.93365788285598
151,2020-12-08 05:05:13.779000+00:00,2020-12-08 08:03:25.013000+00:00,0 days 02:58:11.234000,54.5451,-35.0428,54.5758,-35.18895,2,"[4.6, 4.8]",[2.969787222222222],[20.100020698122442],2.969787222222222,20.100020698122442,2.969787222222222,20.100020698122442
152,2021-03-14 12:47:11.578000+00:00,2021-03-14 15:38:22.296000+00:00,0 days 02:51:10.718000,56.5785,-34.5868,56.549549999999996,-34.49405,2,"[4.2, 4.5]",[2.8529772222222225],[13.104748266378179],2.8529772222222225,13.104748266378179,2.8529772222222225,13.104748266378179
153,2021-04-02 23:09:18.200000+00:00,2021-04-02 23:43:56.234000+00:00,0 days 00:34:38.034000,59.4529,-30.5427,59.38975,-30.588549999999998,2,"[4.5, 4.4]",[0.5772316666666667],[15.003957994562143],0.5772316666666667,15.003957994562143,0.5772316666666667,15.003957994562143
154,2021-04-18 15:17:18.602000+00:00,2021-04-18 22:24:22.290000+00:00,0 days 07:07:03.688000,61.8285,-26.7415,61.81815,-26.8013,4,"[4.9, 4.4, 4.2, 4.4]","[0.06688305555555556, 0.15072027777777777, 6.900087777777777]","[6.579649764915839, 3.602848810173025, 6.479125879069023]",6.900087777777777,6.579649764915839,2.3725637037037033,5.55387481805263
155,2021-05-23 11:44:41.395000+00:00,2021-05-23 12:22:43.755000+00:00,0 days 00:38:02.360000,60.9796,-28.078,61.014399999999995,-28.03765,3,"[4.4, 4.3, 4.1]","[0.24189083333333333, 0.3920980555555556]","[4.633916643466323, 7.859417021648282]",0.3920980555555556,7.859417021648282,0.31699444444444447,6.2466668325573025
156,2021-06-04 21:02:45.430000+00:00,2021-06-05 01:31:45.751000+00:00,0 days 04:29:00.321000,58.416,-32.1112,58.25525,-32.1466,5,"[4.5, 4.5, 4.4, 4.7, 5.2]","[0.044255, 0.015658055555555557, 0.012121111111111112, 4.411388333333333]","[35.888994371108424, 2.6981439501724176, 10.061583835120057, 5.339204802219903]",4.411388333333333,35.888994371108424,1.120855625,13.4969817396552
157,2021-07-27 15:39:51.615000+00:00,2021-07-27 22:08:01.535000+00:00,0 days 06:28:09.920000,56.4487,-34.1989,56.5209,-34.2708,3,"[4.4, 4.5, 4.4]","[0.648053611111111, 5.821368611111111]","[5.094385406339166, 13.958822441701068]",5.821368611111111,13.958822441701068,3.234711111111111,9.526603924020117
158,2021-08-01 00:18:19.597000+00:00,2021-08-01 13:03:09.045000+00:00,0 days 12:44:49.448000,62.8263,-25.2205,62.7849,-25.1234,11,"[4.5, 4.6, 4.8, 4.7, 4.7, 4.3, 4.5, 4.3, 5.2, 4.5, 4.7]","[0.2569444444444444, 0.2908080555555556, 0.07230361111111111, 0.5060547222222223, 8.839850833333333, 0.05158527777777778, 0.0780111111111111, 0.2732252777777778, 1.4358302777777776, 0.9424552777777777]","[9.819274327471746, 6.233797954109208, 7.340379296977589, 2.243071438883438, 5.182175980190739, 3.8248447404518147, 19.612263867515107, 12.901208867743732, 2.835506857246396, 1.549001157104967]",8.839850833333333,19.612263867515107,1.2747068888888888,7.154152448769475
159,2021-08-13 07:37:14.862000+00:00,2021-08-13 07:38:18.303000+00:00,0 days 00:01:03.441000,53.8473,-35.2628,53.7696,-35.12935,2,"[4.4, 4.7]",[0.0176225],[24.67524818578545],0.0176225,24.67524818578545,0.0176225,24.67524818578545
160,2021-09-22 19:02:29.569000+00:00,2021-09-23 01:18:29.485000+00:00,0 days 06:15:59.916000,56.3087,-34.1711,56.39435,-34.2971,2,"[4.6, 4.5]",[6.266643333333334],[24.61727685134846],6.266643333333334,24.61727685134846,6.266643333333334,24.61727685134846
161,2021-09-26 03:07:30.941000+00:00,2021-09-26 10:03:48.638000+00:00,0 days 06:56:17.697000,58.0397,-32.4175,58.06425,-32.472049999999996,2,"[4.6, 4.4]",[6.938249166666667],[8.448556650085715],6.938249166666667,8.448556650085715,6.938249166666667,8.448556650085715
162,2021-09-28 03:23:51.550000+00:00,2021-09-28 04:17:20.062000+00:00,0 days 00:53:28.512000,54.1498,-35.1009,54.21445,-35.05675,2,"[4.3, 4.5]",[0.8912533333333333],[15.502279252487675],0.8912533333333333,15.502279252487675,0.8912533333333333,15.502279252487675
163,2021-10-10 15:54:31.169000+00:00,2021-10-10 16:29:29.527000+00:00,0 days 00:34:58.358000,57.7871,-32.7005,57.7476,-32.67715,3,"[4.5, 4.8, 4.3]","[0.2511380555555556, 0.33173916666666664]","[8.158771585938544, 17.38672853621511]",0.33173916666666664,17.38672853621511,0.29143861111111113,12.772750061076827
164,2022-01-02 11:47:55.314000+00:00,2022-01-02 13:56:37.357000+00:00,0 days 02:08:42.043000,61.1476,-27.9659,61.0313,-27.67925,6,"[4.4, 4.2, 4.6, 4.6, 4.6, 4.5]","[0.09593138888888889, 0.4147386111111111, 0.19911416666666668, 0.005679444444444445, 1.4295483333333332]","[19.568199205981248, 7.340565840418411, 37.369679443611915, 26.897554464952634, 4.303513794942139]",1.4295483333333332,37.369679443611915,0.42900238888888886,19.09590254998127
165,2022-02-13 10:00:29.355000+00:00,2022-02-13 15:19:25.802000+00:00,0 days 05:18:56.447000,57.4802,-33.2349,57.471999999999994,-33.13435,4,"[4.8, 4.9, 4.4, 4.1]","[0.03228138888888889, 1.6226333333333331, 3.660765]","[9.043195079770317, 8.785339654857003, 11.096697688502513]",3.660765,11.096697688502513,1.7718932407407406,9.641744141043278
166,2022-06-11 14:41:08.831000+00:00,2022-06-11 15:40:52.461000+00:00,0 days 00:59:43.630000,54.2913,-35.0654,54.2321,-35.088449999999995,2,"[4.5, 4.9]",[0.9954527777777779],[13.517540292434937],0.9954527777777779,13.517540292434937,0.9954527777777779,13.517540292434937
167,2022-08-21 15:27:04.216000+00:00,2022-08-21 16:32:34.415000+00:00,0 days 01:05:30.199000,60.514,-28.6917,60.56855,-28.741999999999997,3,"[4.7, 5.2, 4.4]","[0.019420555555555555, 1.0723013888888888]","[7.607825822925321, 8.463820290442651]",1.0723013888888888,8.463820290442651,0.5458609722222222,8.035823056683986
168,2022-09-20 12:14:39.229000+00:00,2022-09-21 11:49:41.423000+00:00,0 days 23:35:02.194000,52.9272,-31.9952,52.75675,-31.654400000000003,6,"[4.3, 4.2, 4.3, 4.3, 4.8, 4.5]","[0.17379305555555555, 6.900357777777778, 8.543593333333334, 4.564136666666666, 3.4020619444444447]","[33.29950463591091, 1.1747694988964987, 4.900875040535447, 7.759357516917452, 38.0221367756856]",8.543593333333334,38.0221367756856,4.7167885555555555,17.03132869358918
